,上海沛帛纸业有限公司（23.6.5）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,报 价 表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户：浙江经纬印业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,以下产品如开FSC发票+300元，满1000元免费送物流站，不满1000元+80元短途费送物流站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,花式纸因国内外价格涨幅太快，产品另询单价,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                                                   日期：2023.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,品名,颜色,编号,克重,厚度,计价方式,吨价,张/件,张/包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涂布纸系列,爱尔蒂            ,雪白      自然白,ART150,,15,编号计价,10800,5500,正250/大125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ART185,,18,,,4500,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ART225,,22,,,3500,,-700,↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ART265,,26,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ART320,,32,,,2500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新时尚,米色        白色,CF120,,11,编号计价,10800,7000,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CF145,,14,,,5500,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CF180,,18,,,4500,,-700,↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CF215,,22,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CF250,,25,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CF315,,31,,,2500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金牌超感,高白/浅米,GD105,90,10.5,克重计价,9500,8000,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GD145,120,14.5,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GD180,150,18,,,5000,125,-300,↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GD240,190,25,,,3700,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GD300,240,31.5,,,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
