纸张核价表（2025.11.3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注意; 卷筒纸分切每吨加100元费用,,,,,,,,更新人：,,,张倩倩,,复核人,, ,,,,,,,,,,,,,,,,,,,,,,,,
其他纸张核价吨价=进货吨价*1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特种纸张核价吨价=进货吨价*1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^进货吨价及时查询仓库库存，每月不少于一次核价吨价调整                                      ,,,,,,,,更新时间：,,,2026/6/15,,复核时间,,,上涨,↑,,,,,,,,,,,,,,,,,,,,,,
说明：①报价为平张价格，卷筒-100元/吨，量大可另外报价；②卷筒纸分切每吨加100元费用；③特种纸张核价吨价=进货吨价*1.1（其他*1.05）；④进货吨价及时查询仓库库存，每月不少于一次核价吨价调整；⑤大单另外询价。以上不含运费。,,,,,,,,,,,,,,,,未调整,-,,,,,,,,,,,,,,,,,,,,,,
序号,种类,品牌,克重,供应商,报价,供应商,报价,供应商,报价,进货吨价,涨幅,核价吨价,标规单张,大规单张,备注,下跌,↓,,,,,,,,,,,,,,,,,,,,,,
36,胶版纸,王子文仕,120,,,,,,,5860,↓,6035.8,0.62 ,0.77 ,,,,,,,,,,,,,,,,,,,,,,,,,
37,灰卡纸,建晖,250,,,,,,,3760,↑,3872.8,0.83 ,1.03 ,,,,,,,,,,,,,,,,,,,,,,,,,
38,灰卡纸,建晖,300,,,,,,,3660,↑,3769.8,0.97 ,1.20 ,,,,,,,,,,,,,,,,,,,,,,,,,
39,灰卡纸,建晖,350,,,,,,,3560,↑,3666.8,1.10 ,1.36 ,,,,,,,,,,,,,,,,,,,,,,,,,
40,灰卡纸,建晖,400,,,,,,,3460,↑,3563.8,1.23 ,1.51 ,,,,,,,,,,,,,,,,,,,,,,,,,
41,灰卡纸,建晖,450,,,,,,,3460,↓,3563.8,1.38 ,1.70 ,,,,,,,,,,,,,,,,,,,,,,,,,
42,灰卡纸,汇丰,240,,,,,,,3560,↑,3666.8,0.76 ,0.93 ,,,,,,,,,,,,,,,,,,,,,,,,,
43,灰卡纸,汇丰,290,,,,,,,3460,↑,3563.8,0.89 ,1.10 ,,,,,,,,,,,,,,,,,,,,,,,,,
44,灰卡纸,汇丰,340,,,,,,,3360,↑,3460.8,1.01 ,1.25 ,,,,,,,,,,,,,,,,,,,,,,,,,
45,灰卡纸,汇丰,390,,,,,,,3360,↑,3460.8,1.16 ,1.43 ,,,,,,,,,,,,,,,,,,,,,,,,,
