2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,中性滑面,平面（超白/本白),120－400,正/大度,9200/吨,1、东莞大批量备货，嘉兴仓适量备货；,,,,亮面PVC,D7×××,0.787*100,针孔纹,米,9.60 ,,,
,,,120,,474,2、有卷筒存货时，分切特规，1300㎡起订（误差数±20张以内），不足收开机费200元,,53,装帧布,天然丝,,1.42*100米,深红/深蓝/金黄/金棕/金米,米,10.50 ,非备货产品,,
,,,180,,712,,,,,东洋细布,,1.08*100米,深咖啡/深蓝/酒红/灰色/大红,米,20.50 ,按需调拨，货期5~10天,,
,,,240,,949,,,,,天然麻布,,1.2*100米,白色/灰色/深棕/米色,米,25.00 ,定色：1000-1500米起，以实际颜色评估,,
,,,300,,1186,纸机幅宽区间（1575-1760）mm,,,工艺纸,手造纸,,1100*800,80-CSP005,令,2200 ,,,
,,,350,,1384,简单四色印刷，黑点不在投诉范围内,,,,,,,100-CSP005 / 100-CSP011,令,2515 ,,,
,,,400,,1581,,,,,,,640*940,HM-001/002/003,令,3890 ,,,
,臻品雅质,本白/平面,70－120,正/大度,9300/吨,1、东莞大批量备货，嘉兴仓适量备货；,,,,,,正度,KDP775-07红色,令,2965 ,,,
,,,70,,280,,,,,,,正度,KDP775-10黑色,令,2965 ,,,
,,,80,,320,2、有卷筒存货时，分切特规，2500㎡起订（误差数±20张以内），不足收开机费200元,,,,,,正度,LJ-018 沙银B,令,6270 ,,,
,,,100,,400,,,,,,,正度,LJ-021古铜,令,4340 ,,,
,,,120,,480,纸机幅宽区间（2300-2400）mm,,54~55,金银花纹纸,,125,正度,金/银  纹面,令,,按单核价,,
,臻品纯质,无涂内文/本白,65/75/95,,9500/吨,售完停产,,,,,128,,金/银  平面,令,,,,
,嵩厚纸(嘉兴),本白,170-270,正/大度,9500/吨,1、嘉兴仓备货：正度，大度，787和889门幅卷,,,,,128,,膜拉丝/哑膜(外购),令,,,,
,,,170,,694,,,,,,128,,素面镭射（外购）,令,,,,
,,,190,,776,2、特规分切，单一幅宽起定数量2500㎡（成品误差数±100张以内），以实际产出数量结算货款,,,钻石彩卡-酷黑,,110-400,正度,黑色,吨,14000/吨,东莞备货，2500张起切，不足200开机费,,
,,,220,,898,,,56,哑光黑卡,,110单面,正/大度,哑光单面,令,975 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,240,,980,,,,,,250单面,,,令,1550 ,,,
,,,270,,1102,3、不足起定数量，加收开机费150元,,,,,300单面,,,令,1900 ,,,
,,,285,,1164,,,,,,350单面,,,令,2150 ,,,
,新风尚,超白/本白,100-400,正/大度,12500/吨,1、东莞批量备货，嘉兴仓适量备货；,,,,,150,,新,令,1525 ,,,
,,,100,,516 ,,,,,,180,,,令,1600 ,,,
,,,120,,619 ,2、有卷筒存货时，分切特规，1300㎡起订（误差数±20张以内），不足收开机费200元,,,,,200,,,令,1750 ,,,
,,,150,,774 ,,,,,,230,,,令,1900 ,,,
,,,200,,1031 ,,,,,,250,,,令,2000 ,,,
,,,240,,1238 ,,,,,,300,,,令,2300 ,,,
,,,300,,1547 ,造纸幅宽（1680~1850）mm,,,,,350,,,令,2550 ,,,
,,,350,,1805 ,,,,,,400,,,令,2800 ,,,
,,,400,,2063 ,,,,,,450,,,令,3100 ,,,
东莞重点产品,星采丽印   （快干）DG,单面/冰白,120,正/大度,675,正、大度备货,,,纯黑卡,,110-150,正/大度,黑色,令,11000/吨,1、东莞大批量备货，造纸幅宽（2460~2780)mm,,
,,,350,,1600,,,,,,200-500,,,吨,10500/吨,2、分切特规2500㎡起订不足开机费200元,,
,,双面/冰白,120,,775,特规分切2500㎡起，不足收开机费300，误差数±100张以内,,,高磅黑卡,,600-1200,正度,外购,吨,10500/吨,非备货产品，货期2-3天,,
,,,150,,875,,,新增,双面环保黑卡,,110-150,正/大度,,吨,10200/吨,1、东莞批量备货，可定制FSC Recycled 100%,,
,,,200,,1050,,,,,,180-350,,,吨,9700/吨,2、切特规2500㎡起订，不足收开机费200元,,
,,,250,,1250,,,,嵩厚黑卡,,100-160,正/大度,,吨,13600,,,
,,,300,,1550,,,,,,170-350,,,吨,13000,,,
,,,350,,1750,,,,,,110,,P155,令,644,非备货产品,,
,新星萃平面(单面珠光),超白/冰白,110,正度,825 ,特规分切2500㎡起，不足收开机费300，误差数±100张以内,,,,,130,,P185,令,758,,,
,,,130,,900 ,,,,,,150,,P215,令,877,按需调拨，货期5~10天,,
,,,240,,1450 ,,,,,,200,,P310,令,1113,,,
,,,300,,1800 ,,,,,,250,,P380,令,1389,,,
,,,350,,2050 ,,,,,,300,,P430,令,1670,,,
,"新星萃平面     
(双面珠光)",,120,,1000 ,,,58,永萃牌,染色坑纸,120g*2,正度     华东外购,牛皮底纸,令,,非库存产品下单前先询价,,
,,,140,,1150 ,,,,,原色坑纸,100g*2,,白色,令,1350 ,,,
,,,200,,1450 ,,,,,,110g*2,,黑色,令,1600 ,,,
,,,250,,1700 ,,,,,三层平面坑,100g*3,,特白,令,1500 ,,,
,,,270,,1800 ,,,,,,120g*3,,特白,令,1625 ,,,
,,,320,,2050 ,,,,,,,,纯黑,令,1925 ,,,
新品,新星萃超级印,超白/冰白/米金（单面）,135,正度,950 ,推广产品，备纸样，大货需定制,,,,,,,,,,,,
,,,350,,2250 ,,,注:,1、大度价格为正度价格*1.24,,,,,,,,,
东莞新品,灵感本质    中国红JX,本质平面,110,正/大度,800 ,1、嘉兴仓备货，正度和787门幅卷筒，个别克重有889门幅卷；,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
,,,120,,900 ,,,,,,,,,,,,,
,,,160,,1200 ,,,,品牌,品种,克重,规格,颜色/纹路,单位,批发价,备注,,
,,,200,,1500 ,2、特规分切，单一幅宽起定数量2500㎡（成品误差数±20张以内），以实际产出数量结算货款,,嘉兴10月新品,凤歌环保,,150,正度,高亮充皮,令,3950,充皮纹/细格纹,,
,,,230,,1700 ,,,,,,150,,哑光充皮,令,3800,羊皮/淮枝,,
,,,300,,2200 ,3、不足起定数量，加收开机费150元。,,,,,150,,金属充皮,令,3450,峰窜/流沙,,
,,本质单面纹,110,正/大度,900 ,属于定制产品，正度3000张或者787门幅不少于2500㎡，不足起订数量，加收开机费300元，成品误差数±20张以内,,,,,柔性定制，适量库存，非样板标准产品，整卷起订约6000张。不足收开机费1500-2500元,,,,,,,
,,,120,,1000 ,,,,风行触感耐刮型,,120,正度,黑色/单面,令,1300,柔性定制，适量库存，非样板标准产品，整卷起订约6000张。不足收开机费1000-1500元,,
,,,160,,1300 ,,,,,,200,,,令,1675,,,
,,,200,,1600 ,需套齿轮+发热管纹路开机费600元，纹路有：编织纹 壁珠纹  麻布纹 新禾纹 菱星纹 云宣纹 莱特纹 竹织纹细格纹 经纬纹,,,,,250,,,令,1900,,,
,,,230,,1800 ,,,,,,300,,,令,2250,,,
,,,300,,2300 ,,,,,,350,,,令,2350,,,
,,金砂,120 ,,1200,,,,,,120,,红色/单面,令,1350,,,
,,,160 ,,1500,,,,,,200,,,令,1725,,,
,,银砂,120 ,,1100,,,,,,250,,,令,1950,,,
,,,160 ,,1400,,,,,,300,,,令,2300,,,
,灵感本质冷灰,本质平面,120 ,正/大度,1100 ,东莞工厂备：正度平面，特规最少起订数量787门幅不少于1300平方米，不足起订数量，加收开机费300元，成品误差数±20张以内,,,,,350,,,令,2400,,,
,,,150 ,,1350 ,,,嘉兴新品,"新风行金属
（单面）",,135g,正度,冰晶白、晨粉金、玫瑰金、古典金、香槟金、青石金、炫金、太阳金、冰川银、冰晶蓝、梦幻紫、尚品紫、沉稳灰,令,1300,,,
,,,230 ,,1950 ,,,,,,,,紫铜金、中国红、烈焰红、红荔红、莱姆绿、翡翠绿、墨青绿、松石绿、晶钻蓝、星空蓝、、银碳色、金棕色、橡木棕、摩卡棕、石砚黑,令,1400,,,
,,,260 ,,2200 ,,,,,,160g,,太阳金、古典金、香槟金、星空蓝、摩卡棕,令,1450,,,
,灵感美砂,"卡萨红 玄雅黑 可可棕 
森林绿 文雅蓝",130单面,正度,2300,东莞基地定制产品,,,,,230g,,,令,1800,,,
,,"雪山白 复古灰 金盏黄
宝丽咖 晴空蓝 丁香紫                    月牙米",,,2100,,,,,风云触感/外购,120,正度,黑色/红色(平面）,令,950,嘉兴适量备货,,
,,雪山白,200,,4000,,,,,风云流霞,120,,天蓝/粉红/桔黄,令,1100,,,
,,卡萨红,230,,5200,,,,,,120,,鲜红/酒红/深蓝,令,1150,,,
,,玄雅黑,250,,5450,,,,,万象流金,130单面,正度,平面（20个色）,令,1450,艾利丝、平面，嘉兴备正度规格，大度属于定制，起订数量不少于5000㎡,,
,,雪山白,330,,5050,,,,,,,,纹面（艾利丝）,令,1500,,,
,,玄雅黑,,,6100,,,,,,200-P30,,平面/纹路,令,1800,,,
,灵感银河,星空黑 都市红,130单面,,2000,,,,,,130单面,,魅力红,令,1600,,,
,顶级滑面/华南,超白/本白,120-400,正/大度,12500/吨,东莞备货，分切2000张起，不足开机费200,,东莞新品,万象牌,踏雪,120,正度,冰川绿、初雪白、甜心粉、极光紫、清新黄、柏香棕,令,1550,东莞仓适量备货,,
东莞新品,棉雪,单面纹,120,正/大度,774,非备货产品,,,,玉沙,120,,沙尘灰、松叶绿、深冬灰、珊瑚粉、郁金紫、麦茶黄、圣洁白、贝壳米,令,1550,,,
,,,135,,863,,,,,万象兰迪,130,正度,"平面,20色",令,1425,东莞基地定制产品，不常备原纸,,
,,,190,,1178,卷筒压纹6令（2500㎡）起，平张（135g以上）压纹3令起，误差数±20张以内，不足收开机费300,,,,万象魅影,130,正度,"平面,12色",令,1800,东莞基地适量备货，不支持特规,,
,,,250,,1520,,,,,风云触感（DG）,130,正度,滑系列/红色,令,1100,,,
,,,300,,1809,,,,,,130,,滑系列/黑色,令,1050,,,
,,,350,,2093,,,,,,130,正度,绒系列/红色,令,1350,,,
,,,400,,2382,,,,,,130,,绒系列/黑色,令,1200,,,
,,双面纹,120,,869,,,,凝灿牌,"流金溢彩
单面纹",130,正度,7色,令,1600,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,135,,953,,,,,,130,,沸点红/优雅米/贵族蓝/银河灰/孔雀蓝,令,1700,,,
,,,190,,1273,,,,,,130,,甜蜜桔/巴黎绿/经典红,令,1875,,,
,,,250,,1620,,,嘉兴生产产品,翼羽牌,彩域系列,120,正度,其它色,令,800,,,
,,,300,,1909,,,,,,120,,舒适蓝、坚毅棕、谦和灰,令,900,,,
,,,350,,2198,,,,,出色充皮,130,正度,高亮,令,1625,,,
,,,400,,2487,,,,,,130,,哑光,令,1925,,,
,永萃丝滑,本色,70-100,正度,8600/吨,,,,风行系列,风行珠光   手袋专用,200,正度,白色,令,1175 ,,,
,,,70,,260 ,,,,,,200,,彩色,令,1200 ,,,
,,,80,,295 ,,,,,风行珠光,110,,冰白,令,600,柔性定制产品，适量备纸样，非标准产品，整卷6000张起订，低于6000张，开机费600-1000元,,
,,,100,,370 ,,,,,,130,,冰白,令,650,,,
1,棉纸 100%全棉,白色,110-300,正度    635*889,36800/吨,1、东莞工厂备货，嘉兴仓适量备货；,,,,,130,,金黄,令,725,,,
,,,110,,1740 ,2、定抄其它颜色：10吨起；顺抄时定制其它克重5吨起；货期：25~30天,,,,,120,,主色,令,750,,,
,,,220,,3480 ,,,,,,,,深色,令,800,,,
,,,250,,3955 ,抄造幅宽区间（1524~1575）和（1575~1760）mm,,,,,,,特殊色,令,850,,,
,,,300,,4745 ,,,,,,130,,定制浅色,令,825,,,
,印象环保(本质),本白/奶黄,104-352,正度  635*889,16500/吨,1、东莞大批量备货，嘉兴仓根据市场需求做部分克重备货；,,,,,,,定制深色,令,875,,,
,,,104,,737 ,,,,,,250,,冰白,令,1325 ,,,
,,,148,,1049 ,2、有卷筒分切特规时，最少起订量2000平方米（误差数20张以内），不足须加收开机费200元，货期4-7天,,,,,300,,,令,1625 ,,,
,,,216,,1532 ,,,,,风行充皮,120,正度,黑色,令,750,常备：平面/丝趣/细格/云盾/充皮/莱妮/美梨,,
,,,252,,1787 ,3、定抄其它颜色：10吨起；顺抄时定制其它克重5吨起；货期：25~30天,,,,,,,其它色,令,800,,,
,,,298,,2113 ,,,,,,,,双色,令,900,,,
,,,352,正度,2496 ,1760纸机（1574-1820MM范围）,,,,"风行充皮
高亮/哑光",120,,黑色,令,1025,柔性定制产品，适量备纸样，非标准产品，整卷6000张起订，低于6000张，开机费600-1000元,,
,印象环保(高感),本白/奶黄,126,正/大度,1200 ,有原纸就接单生产，单独上机238g3吨，126g40令，顺带生产至少整卷做货。,,,,,,,其它色,令,1050,,,
,,,238,,2300 ,,,,,"风行充皮
高克重",230g,,黑色/大红（平面/单面纹）,令,1700 ,,,
,印象环保(珠光),本白/奶黄,116,正度,1685 ,"特规、特定单独开机,200g以下3吨，200g以上40令",,,,,250g,,,令,1850 ,,,
,,,228,,2725 ,,,,,,300g,,,令,2125 ,,,
,印象环保再生,平面/环保白,118g-352g,正度,16800/吨,1、东莞主要备货，嘉兴仓适量备货；,,,,,350g,,,令,2400 ,,,
,,,118,,852 ,2、定抄其它颜色：15吨起；顺抄时定制其它克重5吨起；货期：25~30天,,,,风行触感,120克/平面单面,正度,黑色,令,1250 ,,,
,,,216,,1559 ,,,,,,,,红色/桔红/金黄/雪白/白色,令,1350 ,,,
,,,252,,1819 ,3、用后废料（Post-consumer waste),,,,,,,其它深色,令,1400 ,,,
,,,298,,2151 ,,,,,,120克/纹面单面唯真/碎皮/雅丽,,黑色,令,1400 ,,,
,,,352,,2541 ,,,,,,,,红色,令,1450 ,,,
2,思域博瑞,雪白/ 白色 /米黄,140-350,正/大度,20000/吨,S,,,,,,,其它色,令,1500 ,,,
,,,140,,1328,,,,,,150,,黑色/单面,令,1500 ,,,
,,,200,,1896,,,,,,250,,,令,2000,,,
,,,250,,2372,,,,,,300,,,令,2250,,,
,,,300,,2844,,,,,,350,,,令,2525,,,
,,,350,,3320,,,,,,400,,,令,2800,,,
,思域博瑞珠光,白色/雪白,170,正度,2750 ,,,,,,260,,黑色/双面,令,2750,,,
,,,280,,4100 ,,,,,,150,,红色/单面,令,1500,,,
,思域博瑞超感,,170,,1775 ,,,,,,250,,,令,2025,,,
,,,280,,2900 ,,,,,,300,,,令,2300,,,
,"金梧桐
超级毯纹",超白/珠白,200-300,正度   635*889,20000/吨,,,,,,350,,,令,2575,,,
,,,200,,1719,,,,,,260,,红色/双面,令,2950,,,
,,,260,,2235,,,,,,250g单面,,其它色,令,2225,,,
,,,300,,2578,,,,,,260g双面,,,令,3000,,,
,金梧桐超级毯纹（含40%棉）,超白,120-350,正度,20000/吨,,,,,,300g单面,,,令,2575,,,
3,柔美超滑,超白/象牙/本白,,正/大度,14000/吨,1、东莞大批量备货，嘉兴仓适量备货；,,,,"风行触感
雅丽纹",P34,,"雅丽纹：桔红(红底）/夜蓝（黑底）/草绿（黑底）/沸红（黑底）
酷黑",令,1800,,,
,,,100,,602 ,,,,,,P43,,,令,2100,,,
,,,120,,722 ,,,,,"风行触感
雕金",160,正度,定制所有色,令,2200,单款颜色最少起订数量为正度或者大度6000张或者相应门幅的特规不少于5000㎡（误差数±100张以内），允许两个克重，单克重不能少于3000张或者2500㎡，以实际产出数量交付并结算货款。,,
,,,180,,1083 ,2、有卷筒存货时，分切特规时，最少起订量2000平方米（误差数±20张以内），不足须加收开机费200元，货期4-10天；,,,,,260,,,令,2900,,,
,,,220,,1324 ,,,,,,280,,,令,3000,,,
,,,240,,1444 ,,,,,"风行金属
 雕金",160,,,令,2325,,,
,,,315,,1895 ,,,,,,260,,,令,3025,,,
,,,350,,2106 ,,,,,,280,,,令,3100,,,
,,,400,正度,2407 ,,,,,"风行珠光
雕金",160,,,令,1900,,,
3,柔美滑面,超白/本白,,正/大度,14000/吨,3、接受克重定制，顺带抄造时10吨起订，误差数±0.5吨以内；,,,,,260,,,令,2600,,,
,,,100,,602 ,,,,,,280,,,令,2700,,,
,,,120,,722 ,,,1,意象牌,意象触感,130g单面,正度,黑色,令,2700 ,A类,,
,,,135,,812 ,4、可定制颜色，单次30吨，货期25~40天； 单次20吨，货期30~70天。,,,,,240g单面,,,令,3600 ,,,
,,,190,,1143 ,,,,,,300g单面,,,令,4250 ,,,
,,,250,,1504 ,,,,,,130g单面,,红色,令,2700 ,,,
,,,300,,1805 ,,,,,,240g单面,,,令,3650 ,,,
,,,350,,2106 ,1760纸机（1574-1820MM范围）,,,,,135g单面,,白色/象牙,令,2500 ,,,
,,,400,正度,2407 ,,,,,,260g双面,,,令,5250 ,,,
,柔美再生,纯白,150-300,正/大度,14500/吨,,,,,,330g双面,,,令,5850 ,,,
,柔美肤感再生,超白/本白,,,13500/吨,,,2,意象牌,锦絮飞扬,17001-P15,正度,超白/本白/金黄/灰色/深蓝/大红/深棕/深咖啡,令,1300 ,东莞基地定制产品,,
,柔美纯质再生,超白/本白,,,13500/吨,,,,,,17001-P24,,超白/本白,令,2100 ,,,
4,唯美纯质,超白/本白,115-350,正/大度,13000/吨,1、东莞/嘉兴仓超白色批量备货；,,,,,17001-P30,,,令,2600 ,,,
,,,115,,642 ,2、有卷筒存货时，分切特规，最少起订量2000平方米（误差数±20张以内），不足须加收开机费200元，货期3-8天,,,,锦絮炫彩,17002-P16,,超白/冰白/米白/白金(单面),令,2400 ,有原纸就接单生产，单独上机200g以下3吨，200g以上(含)40令，顺带生产至少整卷做货。,,
,,,170,,950 ,,,,,,17002-P18,,超白/冰白(双面),令,3200 ,,,
,,,220,,1229 ,,,,,,17001-P28,,,令,4125 ,,,
,,,250,,1397 ,,,,,,17001-P32,,,令,4700 ,,,
,,,300,,1676 ,3、本白色售完，最少起订数量单克重20吨,,,,锦絮丽画,17003-P18,,白色/米白,令,3100 ,,,
,,,350,,1955 ,,,3,,新凯维斯    触感平面,130g单面,,橙黄/蔚蓝/暮蓝/芽绿/米白/白色/东方白/冰川蓝,令,1450 ,,,
5,唯美         特级滑面纸,雪白/象牙,90-350,正/大度,13000/吨,1、东莞/嘉兴仓雪白色适量备货；,,,,,,,50个色,令,1650 ,备货产品：1、平面 60个色 正度规格； 2、唯真纹和雅丽纹2个颜色（黑色、红色）  正度规格；,,
,,,90,,503 ,,,,,,,,凝夜紫/风信紫,令,1750 ,,,
,,,100,,559 ,2、有卷筒存货时，分切特规，最少起订量2000平方米（误差数±20张以内），不足须加收开机费200元，货期3-8天,,,,,120g单面,,单面-黑平面,令,1350 ,,,
,,,120,,670 ,,,,,,130g单面,,,令,1400 ,,,
,,,150,,838 ,,,,,,150g单面,,,令,1550 ,,,
,,,180,,1006 ,,,,,,240g单面,,,令,1975 ,50个色包括：灰色 红色 正红 藏蓝 宝蓝 咖啡 墨绿 黑色 铅灰 深蓝 棕色 金黄 水蓝 桔红 浓酒红 紫砂棕 胡桃棕 牡丹粉 豆沙粉 香妃粉 荷花粉 缃叶黄 樱草黄 云烟紫   青石灰 青铜绿 织锦灰 光影灰 摩卡灰 寒泉灰 明月黄 凤梨黄 密驼棕 烟叶棕 木姜黄 朱砂红 热带橙 胭脂红 圣女红 晴海绿 松石蓝 青竹绿中国绿 孔雀绿 景泰蓝 暮山紫   长春紫 水墨蓝 黑橡粽 千岁绿,,
,,,230,,1285 ,3、售价较低涉及从东莞调拨时，价格需上调500元/吨,,,,,300g单面,,,令,2350 ,,,
,,,250,,1397 ,,,,,,350g单面,,,令,2625 ,,,
,,,280,,1564 ,,,,,,250g双面,,双面-黑平面,令,2650 ,,,
,,,300,,1676 ,4、象牙色售完，50吨起订（单克重不能少于15吨），25~40天,,,,,330g双面,,,令,3050 ,,,
,,,330,,1844 ,,,,,,120g单面,,单面—红平面,令,1450 ,,,
,,,350,,1955 ,,,,,,130g单面,,,令,1500 ,,,
5,臻品上质,高白/浅米/雪白,80-350,正/大度,10500/吨,1、东莞批量备货，嘉兴仓适量备货；,,,,,150g单面,,,令,1700 ,,,
,,,80,,361 ,,,,,,240g单面,,,令,2300 ,,,
,,,100,,451 ,2、有卷筒存货时，分切特规，1300㎡起订（误差数±20张以内），不足收开机费200,,,,,300g单面,,,令,2750 ,,,
,,,120,,541 ,,,,,,250g双面,,双面—红平面,令,3050 ,,,
,,,150,,677 ,,,,,琅彩,130g单面,正度,绿幻 赤幻,令,2800 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,180,,812 ,,,,,,,,蓝幻 紫幻 黑幻 棕幻,令,2600 ,,,
,,,220,,993 ,造纸幅宽区间（2460—2600）mm,,,,,,,金幻 银幻 玫瑰金 香槟金,令,2500 ,,,
,,,240,,1083 ,,,,,,250g双面,,蓝幻/黑幻/紫幻,令,5200 ,,,
,,,300,,1354 ,,,,,,,,绿幻,令,5600 ,,,
,,,350,,1579 ,,,,,,350g单面,,蓝幻/紫幻,令,5000 ,,,
5,晶丽超滑,超白,120-350,正/大度,12300/吨,,,4,凤歌牌,凤歌充皮01-A130（红宝石亮面）,130g,0.79*100,丹荔/斜格   大红,米,7.50 ,定制产品，原纸不常备，接单详询计划部,,
6,素描纸,本白/超白,100-190,正度,13800/吨,A,,,,,,0.79*100,丹荔/斜格   黑色,米,6.30 ,,,
,,,160,,950 ,,,,,凤歌充皮02-B130(哑面）,130g,0.79*100,碎皮/丹荔,米,8.30 ,,,
,,,180,,1070 ,,,,,凤歌充皮05-E140（红宝石PU充皮）,140g,正度,平面（单面）,令,4450 ,,,
,永萃水彩   (条纹),本白,200-300,,15500/吨,,,,,,300g,正度,,令,6450 ,,,
,,,200,正度,1330,,,5~6,凤歌牌,红宝石      金属充皮,140,0.8*100m,鸟巢/丝趣/云盾/细格  6色,米,7.60 ,,,
,,,300,,1995,,,,,,140,正度,,令,4000 ,,,
,全棉浆水彩   (毯纹),,190g,930*1180,7250 ,,,,,红宝石     珠光充皮,140,,唯真纹/蜂窝纹,令,4000,,,
,,,190g,640*1180,5000 ,,,,,红宝石     皮感充皮,140g,,纳柏纹:灰色/深棕/蓝色/浅棕/桔红/棕色,令,4000,,,
,,,300g,930*1180,11450 ,,,,,红宝石     高亮充皮,140正度,,单色,令,3750 ,,,
,,,300g,640*1180,7875 ,,,,,,,,双色,令,3950 ,,,
,全木浆水彩   (粗毯纹),,200g,930*1180,2445 ,,,6、8,凤歌牌凯维斯系列,新凯维斯       金属,130,正度,魔丽红 紫砂红 中国蓝 电光蓝 繁星棕 冷翡翠 粟金棕 珍珠灰 薄荷蓝 巧克力,令,1450 ,A类,,
,,,200g,640*1180,1685 ,,,,,,,,其它色/单面纹双色,令,1400 ,,,
,,,300g,930*1180,3670 ,,,,,,,,中国红/宙斯黑,令,1600 ,,,
,,,300g,640*1180,2525 ,,,,,凯维斯      珠光充皮,120,莲珠/蜥蜴荔枝/丝趣,金色/银色,令,1700 ,,,
,全木浆水彩纸   (书画纹),,200-300,正度,18000/吨,,,,,,,,大红/金铜/宝蓝/紫红/棕桐/紫罗兰,令,1650 ,,,
,,,200,,1250 ,,,,,凯维斯       UV高亮,130,正度,红色 深蓝 白色 黑色,令,3050 ,,,
,,,300,,1550 ,,,,,,,,双色,令,3375 ,,,
,混合画纸   (滑面),本白,190g,正度,1600 ,1,,9,纯粹牌,万象丹荔一号,115g,正度,棕黄/棕红/棕色/天蓝,令,1450 ,1、东莞工厂备货（正度）；,,
,,,300g,,2525 ,,,,,,,,琥珀/鲜红/深咖啡,令,1550 ,2、定抄，单色3T起，货期15~30天；,,
7/11,风信子单面纹,莱妮纹,120,正/大度,800 ,该系列产品首先参照：颜色及克重按风信子专版样册,,,,万象丹荔二号,115g,正度,超白/天蓝/浅灰/棕黄/棕红/棕色,令,1450 ,,,
,,中条纹,135,,900 ,,,,,,,,果绿 鲜红 深咖啡 琥珀 铬黄,令,1550 ,,,
,,细条纹,180,,1200 ,样册里的：典雅纹|毯纹|细布纹|细纹|竹丝纹|水神纹，雅感纹|莱妮纹|毡纹|自在纹|雪面纹|创意纹|中条纹|细条纹|金字塔|荷兰布纹|丝趣纹|雅莲布纹      正度 备货,,,,万象丹荔三号,115g,正度,纯白  沙棕  冷灰,令,1450 ,,,
,,金字塔,180浅灰米黄,,1450 ,,,,,,,,鲜红 深咖啡 琥珀,令,1550 ,,,
,,水神纹,240,,1550 ,,,,,万象画布纸,116,正度,超白/米黄/蛋壳黄,令,1000 ,1、东莞工厂备货（正度）；,,
,,创意纹,240浅灰米黄,,1950 ,,,,,,148,,,令,1300 ,,,
,,荷兰布纹,300,,1850 ,特定、特规卷筒压纹6令起，误差数±20张以内，平张（135g以上）压纹3令起，不足收开机费300,,,,,209,,,令,1850 ,2、涉及贸易拆货时价格另外核算,,
,,竹丝纹,315,,1950 ,,,,,,116,,大红/深蓝/金黄/灰色,令,1050 ,,,
,,自在纹,350,,2150 ,,,,,,148,,,令,1350 ,3、定抄，单色3T起,,
,,,400,,2450 ,,,,,,209,,,令,1900 ,,,
7/11,风信子双面纹,,120,正/大度,900 ,,,新,,万象蝶变纹,100,正度,风信紫,令,1725 ,,,
,,毯纹,135,,1000 ,,,10,,万象皮纹纸,120g,正度,本质皮纹 7色,令,1400 ,S类,,
,,典雅纹,180,,1300 ,,,,,,130g,,充皮皮纹 / 亮光7色,令,1975 ,,,
,,细  纹,180浅灰米黄,,1550 ,,,,,万象麦穗纸,115g,正度,银白、嫩黄、鹅黄、浅灰、棕色,令,1175 ,,,
,,雪面纹,240,,1650 ,,,,,,,,鲜红,,1325 ,,,
,,雅感纹,240浅灰米黄,,2050 ,,,,,蚕丝,1.08*100米,,金黄/紫罗兰/太空银/宝蓝/森绿/棕桐,米,15.65 ,按需调拨，定色1000米起订,,
,,毡纹,300,,1950 ,,,,,万象创意纸,120g,正度,"共14色,其中深桔黄/石榴红/海藻红3吨起订",令,1350 ,1、东莞工厂备货；2、卷筒有货时，特规起订数量2000平方米（尾数误差±20张以内），不足起订数量，加收开机费200元。,,
,,丝趣纹,315,,2050 ,,,12~16   纯粹牌,,牛津书皮纸,120g,正度,平面/编织/麻布/菱星/新禾/细格/云宣/壁珠/经纬纹,令,1400 ,A类,,
,,细布纹,350,,2250 ,,,18~29,纯粹,灵感本质,120,正度,平面及单面纹/所有色,令,1150 ,A类,,
,,,400,,2550 ,,,,,灵感珠光,130,正度,,令,1450 ,,,
12,"金梧桐
水纹纸",超白/浅黄/米黄,80,430*610,200 ,非常备产品，按需采购，2-3天,,,,灵感充皮,130,正度,,令,1550 ,,,
,,,100,正/大度,780 ,,,31,凝灿,雅花/珠白,128,正度,平面,令,700 ,B类,,
,,,120,,935 ,,,,,,,,压纹,令,800 ,,,
,,,170,,1325 ,,,32~36,凝灿牌,星萃单面,110克单面,正度,冰白/米白/超白,令,800 ,A类,,
,,,220,,2000 ,,,,,,130克平面/单面纹,,冰白/金黄,令,900 ,,,
,,,260,,2350 ,,,,,,,,超白/米白/米金/太空银/粉红/白金/紫红/金黄,令,925 ,,,
,,,300,,2725 ,,,,,,,,其余色,令,1000 ,,,
,超级水纹,超白/米黄/浅黄,80,正/大度,14500/吨,,,37,凝灿牌,星采,120克单面,正度,超白/白色/珠色/银色/太空银/浅紫/粉红/白金/米金/黄金/浅蓝/黑色（白底）,令,850 ,B类,,
,,,100,,,,,,,,,,深色：古铜/紫红/深紫/蓝色/深绿/深棕/银碳/玫红/海蓝/紫铜/葡萄红,令,900 ,,,
,,,120,,,,,,,,,,黑银/红银/红金/黑金,令,925 ,,,
15,摩登纸,7色,130单面,正度,2300 ,东莞基地适量备货，不支持特规分切,,38,,瑰丽系列,120,正度,浅色,令,950 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
