2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,,,300,,1700 ,烫金、裱糊、折盒等工艺,,,,,130,,哑光,令,1925,,,
,,,350,,2000 ,涂布面满足精美多色印刷，,,,风行系列,风行珠光   手袋专用,200,正度,白色,令,1175 ,,,
,思域超滑,超白,120g,,600,可定制FSC Mix Credit,,,,,200,,彩色,令,1200 ,,,
,,,150g,,750,,,,,风行珠光,110,,冰白,令,600,柔性定制产品，适量备纸样，非标准产品，整卷6000张起订，低于6000张，开机费600-1000元,,
,思域超感,超白,135g-165g,,11600/吨,,,,,,130,,冰白,令,650,,,
,思域壹级卡,雪白/单面,350,,12500/吨,,,,,,130,,金黄,令,725,,,
纯粹牌,纤雪环保,,80-350,正/大度,10200/吨,1、嘉兴仓备货，正度，大度，787和889门幅卷，偶有635门幅卷；,,,,,120,,主色,令,750,,,
,,高白/浅米,80,,351 ,,,,,,,,深色,令,800,,,
,,雪白/高白/浅米,100,,438 ,2、特规分切，单一幅宽起定数量2500㎡（成品误差数±20张以内），以实际产出数量结算货款,,,,,,,特殊色,令,850,,,
,,,120,,526 ,,,,,,130,,定制浅色,令,825,,,
,,,150,,657 ,,,,,,,,定制深色,令,875,,,
,,雪白,170,,745 ,3、分切不足起定数量，加收开机费150元。,,,,,250,,冰白,令,1325 ,,,
,,高白/浅米,180,,789 ,4、所有纹路均须定制；,,,,,300,,,令,1625 ,,,
,,雪白,210,,920 ,5、150g及以下，起定数量2500㎡（成品误差数±20张以内），以实际产出数量结算货款，不足起定数量须加收开机费300元。,,,,风行充皮,120,正度,黑色,令,750,常备：平面/丝趣/细格/云盾/充皮/莱妮/美梨,,
,,高白/浅米,220,,964 ,,,,,,,,其它色,令,800,,,
,,雪白,250,,1096 ,,,,,,,,双色,令,900,,,
,,高白/浅米,280,,1227 ,6、170g及以上，正、大度起定数量为500张，不足加收开机费150元；特殊规格参照第2条起订数量要求。,,,,"风行充皮
高亮/哑光",120,,黑色,令,1025,柔性定制产品，适量备纸样，非标准产品，整卷6000张起订，低于6000张，开机费600-1000元,,
,,雪白,300,,1315 ,,,,,,,,其它色,令,1050,,,
,,高白/雪白,380,,1666 ,,,,,"风行充皮
高克重",230g,,黑色/大红（平面/单面纹）,令,1700 ,,,
